goruntu,eslesme_durumu,pytorch_x1,pytorch_y1,pytorch_x2,pytorch_y2,onnx_x1,onnx_y1,onnx_x2,onnx_y2,pytorch_skor,onnx_skor,kutu_iou,skor_mutlak_fark,x1_mutlak_fark,y1_mutlak_fark,x2_mutlak_fark,y2_mutlak_fark,kosu_protokol_kaynagi,kosu_bolum,kosu_karo_boyutu,kosu_ortusme_orani,kosu_iou_esigi,kosu_cihaz,kosu_taban_conf,kosu_pt_sha256,kosu_onnx_sha256,kosu_pytorch_yolu,kosu_onnx_yolu,kosu_motor_secimi,kosu_karo_indeksi_notu,kosu_eslestirme,kosu_surum_onnxruntime,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,1232.4082,1041.1728,1282.6133,1109.597,1232.4082,1041.1728,1282.6133,1109.597,0.812,0.812,1.0,0.0,0.0,0.0,0.0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,1133.9907,1020.5211,1213.9775,1091.0462,1133.9907,1020.5211,1213.9775,1091.0462,0.747238,0.747238,1.0,2.4e-07,0.0,0.0,0.0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,2505.3865,867.9848,2585.4399,921.847,2505.3865,867.9848,2585.4399,921.847,0.73907,0.73907,1.0,2.4e-07,4e-06,0.0,8e-06,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,2401.6478,1939.6943,2456.7199,1983.8228,2401.6478,1939.6943,2456.7199,1983.8227,0.641871,0.641871,0.999999,1.8e-07,0.0,3.1e-05,0.0,3.1e-05,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,3280.1553,1403.9355,3353.2402,1490.8638,3280.1553,1403.9354,3353.2402,1490.8638,0.634909,0.634908,0.999999,3.6e-07,0.0,3.1e-05,1.5e-05,3.1e-05,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,1339.7217,2471.6582,1391.9275,2528.5317,1339.7217,2471.6582,1391.9275,2528.5317,0.618508,0.618508,0.999999,1.8e-07,2.3e-05,6e-06,1.5e-05,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,1874.5368,820.1564,1949.5485,863.8525,1874.5368,820.1564,1949.5485,863.8525,0.564163,0.564163,1.0,3.6e-07,1.5e-05,4e-06,0.0,0.0,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,2531.445,868.2416,2561.9987,928.7562,2531.445,868.2416,2561.9987,928.7562,0.561621,0.561621,1.0,6e-08,0.0,4e-06,0.0,8e-06,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,2105.0078,2439.2576,2147.601,2471.6096,2105.0078,2439.2575,2147.601,2471.6096,0.555553,0.555553,0.999998,3e-07,0.0,3.1e-05,0.0,3.1e-05,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
test_ZRI_0004_JPG.rf.e913f73a55a644ae9b3e440de80f749d.jpg,eslesti,1854.9323,2082.8449,1901.7525,2144.7739,1854.9323,2082.8448,1901.7525,2144.7739,0.549456,0.549455,0.999999,6e-07,0.0,2.3e-05,0.0,1.5e-05,/Users/onurkaya/Desktop/claude_projeler/gozcu/reports/test_model512.csv,test,512,0.2,0.3,cpu,0.05,66a93278a16e1cf720052dbde975f9c5b13ab3881e2416dd1bd78d6815fdf3b7,361731351703f4581f95871c26583eba760f08ed26493869cc864c8c57f55dbd,/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.pt (SAHI + Ultralytics),"/Users/onurkaya/Desktop/claude_projeler/gozcu/agirliklar/model512_best.onnx (backend/core/onnx_detector.py, onnxruntime)",ONNX tarafinda Ultralytics sarmalayicisi degil backend'in onnxruntime dedektoru olculdu; Celery'de calisacak motor budur,SAHI ObjectPrediction karo satir/sutun bilgisini tasimaz; fark CSV'si karolar arasi NMS sonrasi tam goruntu koordinatlarini icerir,"ortak.kutulari_eslestir, IoU 0.3 (protokolun gercek kutu eslestirmesiyle ayni esik)",1.30.0,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 14:09:29,scripts/18_pytorch_onnx_karsilastir.py
